id,Name,Program,Birthplace
849842,Guy Raz,"How I Built This, TED Radio Hour","Los Angeles, CA"
148309,Audie Cornish,All Things Considered,"Boston, MA"
427336,Ari Shapiro,All Things Considered,"Fargo, ND"
102447,Diane Rehm,The Diane Rehm Show,"Washington, D.C."
284830,Nina Totenberg,"All Things Considered, Morning Edition, Weekend Edition","New York, NY"
857025,Ren̩e Montagne,Morning Edition,"Oceanside, CA"
532690,Ira Flatow,Science Friday,"New York, NY"
567845,Peter Sagal,Wait Wait...Don't tell me!,"Berkeley Heights, NJ"
636630,Ira Glass,This American Life,"Baltimore, MD"
618460,Terry Gross,Fresh Air,"Brooklyn, NY"
544313,Linda Wertheimer,Senior national correspondent for multiple programs,"Carlsbad, NM"
352492,Carl Kasell,Wait Wait...Don't tell me!,"Goldsboro, NC"
352492,Corey Flintoff,international correspondent,"Fairbanks, AK"
22016,"Steve Inskeep",Morning Edition,"Carmel, IN"
571046,Scott Simon,Weekend Edition,"Chicago, IL"
210117,"Lakshmi Singh",Newscast Unit,"Syracuse, NY"
176104,"Susan Stamberg",Special Correspondent,"Newark, NJ"
197288,"Hanna Rosin",Invisibilia,Israel
682334,Alix Spiegel,Invisibilia,"Baltimore, MD"
